1242	61.0854	1855.27	271.367	1733.84	-172.019	-117.506	-676.191	0.0136985	0.000763628	0.0153769	0.0206078	0.0308066	0.0278453
1342	112.683	1853.44	313.526	1735.93	-165.021	-117.597	-677.888	-0.00599965	-0.00913439	-0.00652246	0.012727	0.057329	0.0520467
1442	163.719	1851.76	355.738	1738.04	-158.053	-117.699	-679.607	-0.00563067	-0.00650696	-0.00467338	0.00979212	0.0481148	0.0438735
1542	214.427	1850.12	398.111	1740.15	-151.08	-117.797	-681.328	-0.00277287	-0.00745712	-0.00233825	0.00829246	0.0338044	0.0309602
1642	264.798	1848.54	440.607	1742.32	-144.103	-117.898	-683.042	-0.00942391	-0.00592636	-0.0126446	0.0168469	0.032898	0.0302623
1742	314.766	1846.98	483.22	1744.51	-137.139	-117.998	-684.77	-0.00808709	-0.00552957	-0.00926629	0.0134849	0.0519372	0.0479857
1842	364.454	1845.54	526.02	1746.71	-130.172	-118.105	-686.504	-0.00143567	-0.00134071	0.00179365	0.00266004	0.0207994	0.0193013
1942	413.851	1844.04	568.942	1748.92	-123.2	-118.202	-688.224	-0.00323898	-0.0074475	-0.00509816	0.00958892	0.0374386	0.0348943
2042	462.92	1842.64	611.989	1751.16	-116.233	-118.303	-689.946	-0.00201967	-0.00585456	-0.00441792	0.00760742	0.023049	0.0215766
2142	511.749	1841.29	655.255	1753.43	-109.263	-118.41	-691.681	0.000868747	-0.000438326	0.00903066	0.00908294	0.0127096	0.0119498
2242	560.218	1839.94	698.604	1755.68	-102.305	-118.513	-693.414	0.00962787	0.00124211	0.0214643	0.0235575	0.00511499	0.00483025
2342	608.487	1838.62	742.106	1757.97	-95.3351	-118.615	-695.125	0.00670823	0.000537902	0.0165063	0.0178255	0.00724949	0.00687585
2442	656.562	1837.32	785.823	1760.28	-88.3556	-118.716	-696.836	0.00760968	0.00226806	0.00911797	0.0120909	0.0146705	0.0139753
2542	704.363	1836	829.679	1762.58	-81.3797	-118.813	-698.545	0.00403874	0.000239801	0.00294522	0.00500432	0.0083844	0.00802192
